County Code,Perm ID,Facility Name,Building #,Building Name,Building Status,SPC Rating,2007 Hazus Score (%),2010 Hazus Score (%),NPC Rating,Location 1,Count
01 - Alameda,11210,Alameda Hospital,BLD-01278,Original Hospital,In Service,1,,27.63,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-01279,Stephens Wing,In Service,1,,10.25,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-01280,West Wing,In Service,2,,,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-01281,South Wing,In Service,3s,,,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-01282,Radiology Addition,In Service,5s,,,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-01283,Medical Gas Storage,In Service,3s,,,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-02630,Compactor Shed,In Service,4,,,2,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-03120,Emergency Room Relocation,In Service,3s,,,1,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11210,Alameda Hospital,BLD-05597,LOX Tank,Under Construction,N/A,,,NYA,"Alameda
(37.7626572, -122.2538986)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00695,Ehman Building,In Service,2,,1.17,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00696,North Wing,In Service,2,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00698,East Wing,In Service,1,,9.89,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00699,Original West Wing,In Service,1,,26.18,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00700,West Service Wing - Building 1,In Service,1,,16.85,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00701,Physio-Therapy Building,In Service,2,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00702,Original Emergency Wing,In Service,2,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00703,Special Procedures Addition,In Service,3,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00704,Emergency Department Expansion,In Service,5s,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00705,Cogeneration Building,In Service,4s,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00706,Emergency Generator Building,In Service,4,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-00707,Transformer Building,In Service,2,,0.37,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-03431,South Wing - Phase 2,In Service,3s,,,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-03433,West Service Wing - Building 2,In Service,1,,21.08,2,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-03434,Orig Emergency Wing - East Wing,Not an Independent Building,N/A,,,N/A,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11322,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BLD-05300,Patient Care Pavilion,Under Construction,5s,,,NYA,"Oakland
(37.8208094, -122.2630806)",1
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus - Summit,BLD-00708,Main Hospital Building,In Service,3,,,2,"Oakland
(37.8199008, -122.2643586)",1
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus - Summit,BLD-03443,Main Entrance Canopy,In Service,3,,,2,"Oakland
(37.8199008, -122.2643586)",1
01 - Alameda,11338,Alta Bates Summit Medical Center - Summit Campus - Summit,BLD-03444,Bridge at Link,In Service,3,,,2,"Oakland
(37.8199008, -122.2643586)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01285,Admin.,In Service,2,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01286,Laundry/Hall of Health,In Service,2,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01287,Boiler,In Service,2,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01288,1968 Building,In Service,2,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01289,1975 Building,In Service,2,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01290,1985 Building,In Service,4,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01291,Electric Service Building,In Service,4,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11214,Alta Bates Summit Medical Center-Alta Bates Campus,BLD-01292,Oxygen Tank Enclosure,Equipment Yard,N/A,,,2,"Berkeley
(37.8559265, -122.257309)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01293,Cardiac Cath Lab,In Service,5,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01294,Patient Tower,In Service,3,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01295,West Site Plant,In Service,3,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01296,Cafeteria Addition,In Service,3,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01297,Diagnostic & Treatment Building,In Service,3,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01298,B/C Wing,In Service,1,,3.28,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-01299,A/B Wing,In Service,1,,15.07,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-03121,Loading Dock,In Service,3,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-05214,Western Expansion Building,In Service,5s,,,2,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-05822,Outpatient Clinic,Clinic - Local Jurisdiction,N/A,,,NYA,"Oakland
(37.8368568, -122.2671051)",1
